employer,job_title,closing_date,publishing_date,job_description,city,country,region,job_description_upper,job_title_cleaned,job_title_tokenized,job_title_lemmatized,job_description_cleaned,job_description_tokenized,job_description_lemmatized
UNICEF,Social & Behavior Change Specialist (Gender) ,27.02.2023,21.02.2023,"A minimum of five years of professional experience in one or more of the following areas is required: social development programme planning, Social & Behavior Change, public advocacy or another related area, relevant experience in a UN system agency or organization is considered as an asset, experience working in a developing country is considered as an asset, builds and maintains partnerships, demonstrates self-awareness and ethical awareness Fluency in Arabic and English is required, knowledge of another official UN language or a local language is an asset ",Damascus,Syria,Asia,3,social   behavior change specialist  gender  ,"['social', 'behavior', 'change', 'specialist', 'gender']",social behavior change specialist gender,a minimum of five years of professional experience in one or more of the following areas is required  social development programme planning  social   behavior change  public advocacy or another related area  relevant experience in a un system agency or organization is considered as an asset  experience working in a developing country is considered as an asset  builds and maintains partnerships  demonstrates self awareness and ethical awareness fluency in arabic and english is required  knowledge of another official un language or a local language is an asset ,"['a', 'minimum', 'of', 'five', 'years', 'of', 'professional', 'experience', 'in', 'one', 'or', 'more', 'of', 'the', 'following', 'areas', 'is', 'required', 'social', 'development', 'programme', 'planning', 'social', 'behavior', 'change', 'public', 'advocacy', 'or', 'another', 'related', 'area', 'relevant', 'experience', 'in', 'a', 'un', 'system', 'agency', 'or', 'organization', 'is', 'considered', 'as', 'an', 'asset', 'experience', 'working', 'in', 'a', 'developing', 'country', 'is', 'considered', 'as', 'an', 'asset', 'builds', 'and', 'maintains', 'partnerships', 'demonstrates', 'self', 'awareness', 'and', 'ethical', 'awareness', 'fluency', 'in', 'arabic', 'and', 'english', 'is', 'required', 'knowledge', 'of', 'another', 'official', 'un', 'language', 'or', 'a', 'local', 'language', 'is', 'an', 'asset']",minimum five year professional one following area social development programme planning social behavior change public advocacy another area un system agency organization considered asset working developing country considered asset build maintains partnership demonstrates self awareness ethical awareness fluency arabic english another official un language local language asset
United Nations Development Programme,National Assistant Arabic Editor ,21.05.2023,05.10.2023,"Bachelor’s degree in Arabic Language Min. years of relevant work experience, five years of work as an Arabic language Editor, Solid experience in Arabic Language, develops clear goals that are consistent with agreed strategies, identify priority activities and assignments and adjusts as required, allocates appropriate amount of time and resources for completing work, good advocacy and communications skills and demonstrated report-writing skills, strong analytical skills, fair and sound judgment, effectiveness in meeting tight deadlines, high level of competency in Arabic is required, ability to work independently and achieve quality results with limited supervision and within tight schedules, ability to develop communication channels with others Arabic and an Acceptable level of English ",Riyadh,Saudi Arabia,Asia,0,national assistant arabic editor ,"['national', 'assistant', 'arabic', 'editor']",national assistant arabic editor,bachelor s degree in arabic language min  years of relevant work experience  five years of work as an arabic language editor  solid experience in arabic language  develops clear goals that are consistent with agreed strategies  identify priority activities and assignments and adjusts as required  allocates appropriate amount of time and resources for completing work  good advocacy and communications skills and demonstrated report writing skills  strong analytical skills  fair and sound judgment  effectiveness in meeting tight deadlines  high level of competency in arabic is required  ability to work independently and achieve quality results with limited supervision and within tight schedules  ability to develop communication channels with others arabic and an acceptable level of english ,"['bachelor', 's', 'degree', 'in', 'arabic', 'language', 'min', 'years', 'of', 'relevant', 'work', 'experience', 'five', 'years', 'of', 'work', 'as', 'an', 'arabic', 'language', 'editor', 'solid', 'experience', 'in', 'arabic', 'language', 'develops', 'clear', 'goals', 'that', 'are', 'consistent', 'with', 'agreed', 'strategies', 'identify', 'priority', 'activities', 'and', 'assignments', 'and', 'adjusts', 'as', 'required', 'allocates', 'appropriate', 'amount', 'of', 'time', 'and', 'resources', 'for', 'completing', 'work', 'good', 'advocacy', 'and', 'communications', 'skills', 'and', 'demonstrated', 'report', 'writing', 'skills', 'strong', 'analytical', 'skills', 'fair', 'and', 'sound', 'judgment', 'effectiveness', 'in', 'meeting', 'tight', 'deadlines', 'high', 'level', 'of', 'competency', 'in', 'arabic', 'is', 'required', 'ability', 'to', 'work', 'independently', 'and', 'achieve', 'quality', 'results', 'with', 'limited', 'supervision', 'and', 'within', 'tight', 'schedules', 'ability', 'to', 'develop', 'communication', 'channels', 'with', 'others', 'arabic', 'and', 'an', 'acceptable', 'level', 'of', 'english']",bachelor degree arabic language min year five year arabic language editor solid arabic language develops clear goal consistent agreed strategy identify priority activity assignment adjusts allocates appropriate amount time resource completing good advocacy communication skill demonstrated report writing skill strong analytical skill fair sound judgment effectiveness meeting tight deadline high level competency arabic independently achieve quality result limited supervision within tight schedule develop communication channel others arabic acceptable level english
United Nations Development Programme,Operations Associate (roster) ,01.05.2023,18.04.2023,"Secondary education with technical training in human resources, business administration, or related areas, a university degree in human resources, or business administration is desirable, but it is not a requirement Six years of relevant experience in HR and business administration, alternatively, Bachelor’s degree in combination with three years of relevant experience in business analysis, programme support and administration may be accepted, knowledge of the conditions of service of the UN Common System or of international organizations is an asset, proficiency in the use of office software packages (ERP, MS Word, Excel, PowerPoint, etc.) and experience in handling of web-based management systems is highly desirable, knowledge of and ability to develop and implement strategies, mechanisms, and platforms to ensure effective outreach to the relevant segments of the labour market, active and passive candidates internally and externally Fluency in English is required, proficiency in French and/or Spanish is an asset ",Bonn,Germany,Europe,4,operations associate  roster  ,"['operations', 'associate', 'roster']",operation associate roster,secondary education with technical training in human resources  business administration  or related areas  a university degree in human resources  or business administration is desirable  but it is not a requirement six years of relevant experience in hr and business administration  alternatively  bachelor s degree in combination with three years of relevant experience in business analysis  programme support and administration may be accepted  knowledge of the conditions of service of the un common system or of international organizations is an asset  proficiency in the use of office software packages  erp  ms word  excel  powerpoint  etc   and experience in handling of web based management systems is highly desirable  knowledge of and ability to develop and implement strategies  mechanisms  and platforms to ensure effective outreach to the relevant segments of the labour market  active and passive candidates internally and externally fluency in english is required  proficiency in french and or spanish is an asset ,"['secondary', 'education', 'with', 'technical', 'training', 'in', 'human', 'resources', 'business', 'administration', 'or', 'related', 'areas', 'a', 'university', 'degree', 'in', 'human', 'resources', 'or', 'business', 'administration', 'is', 'desirable', 'but', 'it', 'is', 'not', 'a', 'requirement', 'six', 'years', 'of', 'relevant', 'experience', 'in', 'hr', 'and', 'business', 'administration', 'alternatively', 'bachelor', 's', 'degree', 'in', 'combination', 'with', 'three', 'years', 'of', 'relevant', 'experience', 'in', 'business', 'analysis', 'programme', 'support', 'and', 'administration', 'may', 'be', 'accepted', 'knowledge', 'of', 'the', 'conditions', 'of', 'service', 'of', 'the', 'un', 'common', 'system', 'or', 'of', 'international', 'organizations', 'is', 'an', 'asset', 'proficiency', 'in', 'the', 'use', 'of', 'office', 'software', 'packages', 'erp', 'ms', 'word', 'excel', 'powerpoint', 'etc', 'and', 'experience', 'in', 'handling', 'of', 'web', 'based', 'management', 'systems', 'is', 'highly', 'desirable', 'knowledge', 'of', 'and', 'ability', 'to', 'develop', 'and', 'implement', 'strategies', 'mechanisms', 'and', 'platforms', 'to', 'ensure', 'effective', 'outreach', 'to', 'the', 'relevant', 'segments', 'of', 'the', 'labour', 'market', 'active', 'and', 'passive', 'candidates', 'internally', 'and', 'externally', 'fluency', 'in', 'english', 'is', 'required', 'proficiency', 'in', 'french', 'and', 'or', 'spanish', 'is', 'an', 'asset']",secondary education technical training human resource business administration area university degree human resource business administration desirable not requirement six year hr business administration alternatively bachelor degree combination three year business analysis programme support administration may accepted condition service un common system international organization asset proficiency use office software package erp m word excel powerpoint etc handling web based management system highly desirable develop implement strategy mechanism platform ensure effective outreach segment labour market active passive candidate internally externally fluency english proficiency french spanish asset
United Nations Development Programme,Project Analyst on Vocational and Digital Skills Development ,12.04.2023,31.03.2023,"Minimum two years (with Bachelor’s degree) of experience in the field of private sector development, rural development, gender and youth issues, development of laws and regulations, previous experience with a development partner or government is a strong advantage, proven experience in development of research papers and reports, publications and analytical notes, prior experience with UNDP projects in similar position would be an asset Fluency in English and Uzbek is required ",Tashkent,Uzbekistan,Asia,1,project analyst on vocational and digital skills development ,"['project', 'analyst', 'on', 'vocational', 'and', 'digital', 'skills', 'development']",project analyst vocational digital skill development,minimum two years  with bachelor s degree  of experience in the field of private sector development  rural development  gender and youth issues  development of laws and regulations  previous experience with a development partner or government is a strong advantage  proven experience in development of research papers and reports  publications and analytical notes  prior experience with undp projects in similar position would be an asset fluency in english and uzbek is required ,"['minimum', 'two', 'years', 'with', 'bachelor', 's', 'degree', 'of', 'experience', 'in', 'the', 'field', 'of', 'private', 'sector', 'development', 'rural', 'development', 'gender', 'and', 'youth', 'issues', 'development', 'of', 'laws', 'and', 'regulations', 'previous', 'experience', 'with', 'a', 'development', 'partner', 'or', 'government', 'is', 'a', 'strong', 'advantage', 'proven', 'experience', 'in', 'development', 'of', 'research', 'papers', 'and', 'reports', 'publications', 'and', 'analytical', 'notes', 'prior', 'experience', 'with', 'undp', 'projects', 'in', 'similar', 'position', 'would', 'be', 'an', 'asset', 'fluency', 'in', 'english', 'and', 'uzbek', 'is', 'required']",minimum two year bachelor degree field private sector development rural development gender youth issue development law regulation previous development partner government strong advantage proven development research paper report publication analytical note prior undp project similar would asset fluency english uzbek
World Food Programme,Programme Assistant (VAM) ,17.10.2022,10.06.2022,"Three years of work experience in the Humanitarian sector, including at least one year working in Monitoring & Evaluation and Targeting, fluent in at least one programming language e.g., Python, SQL, Java, knowledge of food security vulnerability indicators, advanced skills in designing XLSForms and using ODK (Open Data Kit), knowledge in WFP Targeting Criteria and strategies of beneficiary selection, knowledge and experience in statistical data analysis using tools like SPSS, R, MS Access, knowledge and experience in building dashboards using Tableau, analyzing food security assessments of NWS to find correlation between vulnerability indicators and food consumption scores Fluency in both oral and written communication in English and Arabic ",Gaziantep,Turkey,Asia,7,programme assistant  vam  ,"['programme', 'assistant', 'vam']",programme assistant vam,three years of work experience in the humanitarian sector  including at least one year working in monitoring   evaluation and targeting  fluent in at least one programming language e g   python  sql  java  knowledge of food security vulnerability indicators  advanced skills in designing xlsforms and using odk  open data kit   knowledge in wfp targeting criteria and strategies of beneficiary selection  knowledge and experience in statistical data analysis using tools like spss  r  ms access  knowledge and experience in building dashboards using tableau  analyzing food security assessments of nws to find correlation between vulnerability indicators and food consumption scores fluency in both oral and written communication in english and arabic ,"['three', 'years', 'of', 'work', 'experience', 'in', 'the', 'humanitarian', 'sector', 'including', 'at', 'least', 'one', 'year', 'working', 'in', 'monitoring', 'evaluation', 'and', 'targeting', 'fluent', 'in', 'at', 'least', 'one', 'programming', 'language', 'e', 'g', 'python', 'sql', 'java', 'knowledge', 'of', 'food', 'security', 'vulnerability', 'indicators', 'advanced', 'skills', 'in', 'designing', 'xlsforms', 'and', 'using', 'odk', 'open', 'data', 'kit', 'knowledge', 'in', 'wfp', 'targeting', 'criteria', 'and', 'strategies', 'of', 'beneficiary', 'selection', 'knowledge', 'and', 'experience', 'in', 'statistical', 'data', 'analysis', 'using', 'tools', 'like', 'spss', 'r', 'ms', 'access', 'knowledge', 'and', 'experience', 'in', 'building', 'dashboards', 'using', 'tableau', 'analyzing', 'food', 'security', 'assessments', 'of', 'nws', 'to', 'find', 'correlation', 'between', 'vulnerability', 'indicators', 'and', 'food', 'consumption', 'scores', 'fluency', 'in', 'both', 'oral', 'and', 'written', 'communication', 'in', 'english', 'and', 'arabic']",three year humanitarian sector including least one year working monitoring evaluation targeting fluent least one programming language e g python sql java food security vulnerability indicator advanced skill designing xlsforms using odk open data kit wfp targeting criterion strategy beneficiary selection statistical data analysis using tool like spss r m access building dashboard using tableau analyzing food security assessment nw find correlation vulnerability indicator food consumption score fluency oral written communication english arabic
UNICEF,Nutrition Specialist ,22.02.2023,02.09.2023,"A minimum of eight years of professional experience in a developing country in one or more of the following areas is required: nutrition, public health, nutrition planning and management, or maternal, infant and child health/nutrition care, experience in health/nutrition programme/project development and management in a UN system agency or organization is an asset, at least one year international experience is required Fluency in English is required, knowledge of another official UN language (Arabic, Chinese, French, Russian or Spanish) or a local language is an asset ",Suva,Fiji,Oceania,3,nutrition specialist ,"['nutrition', 'specialist']",nutrition specialist,a minimum of eight years of professional experience in a developing country in one or more of the following areas is required  nutrition  public health  nutrition planning and management  or maternal  infant and child health nutrition care  experience in health nutrition programme project development and management in a un system agency or organization is an asset  at least one year international experience is required fluency in english is required  knowledge of another official un language  arabic  chinese  french  russian or spanish  or a local language is an asset ,"['a', 'minimum', 'of', 'eight', 'years', 'of', 'professional', 'experience', 'in', 'a', 'developing', 'country', 'in', 'one', 'or', 'more', 'of', 'the', 'following', 'areas', 'is', 'required', 'nutrition', 'public', 'health', 'nutrition', 'planning', 'and', 'management', 'or', 'maternal', 'infant', 'and', 'child', 'health', 'nutrition', 'care', 'experience', 'in', 'health', 'nutrition', 'programme', 'project', 'development', 'and', 'management', 'in', 'a', 'un', 'system', 'agency', 'or', 'organization', 'is', 'an', 'asset', 'at', 'least', 'one', 'year', 'international', 'experience', 'is', 'required', 'fluency', 'in', 'english', 'is', 'required', 'knowledge', 'of', 'another', 'official', 'un', 'language', 'arabic', 'chinese', 'french', 'russian', 'or', 'spanish', 'or', 'a', 'local', 'language', 'is', 'an', 'asset']",minimum eight year professional developing country one following area nutrition public health nutrition planning management maternal infant child health nutrition care health nutrition programme project development management un system agency organization asset least one year international fluency english another official un language arabic chinese french russian spanish local language asset
World Health Organization,Warehouse Managers ,17.03.2023,03.08.2023,"At least Three years‘ related experience and exposure, in managing emergency ICT operations and/or Logistics & Administration support in international organizations/institutions, part of which in the field supporting emergency humanitarian operations, demonstrated exposure at the international level, related experience with WHO, the UN system, health cluster partners, recognized humanitarian organizations or international nongovernmental organization work in the field of outbreaks and/or health emergency response Expert knowledge of English languages, expert knowledge of Ukrainian or Russian languages ",Poltava,Ukraine,Europe,3,warehouse managers ,"['warehouse', 'managers']",warehouse manager,at least three years  related experience and exposure  in managing emergency ict operations and or logistics   administration support in international organizations institutions  part of which in the field supporting emergency humanitarian operations  demonstrated exposure at the international level  related experience with who  the un system  health cluster partners  recognized humanitarian organizations or international nongovernmental organization work in the field of outbreaks and or health emergency response expert knowledge of english languages  expert knowledge of ukrainian or russian languages ,"['at', 'least', 'three', 'years', 'related', 'experience', 'and', 'exposure', 'in', 'managing', 'emergency', 'ict', 'operations', 'and', 'or', 'logistics', 'administration', 'support', 'in', 'international', 'organizations', 'institutions', 'part', 'of', 'which', 'in', 'the', 'field', 'supporting', 'emergency', 'humanitarian', 'operations', 'demonstrated', 'exposure', 'at', 'the', 'international', 'level', 'related', 'experience', 'with', 'who', 'the', 'un', 'system', 'health', 'cluster', 'partners', 'recognized', 'humanitarian', 'organizations', 'or', 'international', 'nongovernmental', 'organization', 'work', 'in', 'the', 'field', 'of', 'outbreaks', 'and', 'or', 'health', 'emergency', 'response', 'expert', 'knowledge', 'of', 'english', 'languages', 'expert', 'knowledge', 'of', 'ukrainian', 'or', 'russian', 'languages']",least three year exposure managing emergency ict operation logistics administration support international organization institution part field supporting emergency humanitarian operation demonstrated exposure international level un system health cluster partner recognized humanitarian organization international nongovernmental organization field outbreak health emergency response expert english language expert ukrainian russian language
United Nations Development Programme,Project Manager ,21.06.2023,06.09.2023,"Master’s degree in public administration, social sciences, engineering or related field, Bachelor’s degree in combination with two additional years of qualifying experience can be accepted in lieu of the Master’s degree Minimum five years (with Master’s degree) or seven years (with Bachelor’s degree) of relevant working experience in direct project management, previous experience in design and implementation of infrastructure or development projects in Bosnia and Herzegovina, thorough understanding of the overall political, administrative and institutional set-up of local governments in BiH, treats all people fairly without favoritism Excellent writing and verbal communication skills in English and Bosnian-Croatian-Serbian (BCS) is required ",Sarajevo,Bosnia and Herzegovina,Europe,1,project manager ,"['project', 'manager']",project manager,master s degree in public administration  social sciences  engineering or related field  bachelor s degree in combination with two additional years of qualifying experience can be accepted in lieu of the master s degree minimum five years  with master s degree  or seven years  with bachelor s degree  of relevant working experience in direct project management  previous experience in design and implementation of infrastructure or development projects in bosnia and herzegovina  thorough understanding of the overall political  administrative and institutional set up of local governments in bih  treats all people fairly without favoritism excellent writing and verbal communication skills in english and bosnian croatian serbian  bcs  is required ,"['master', 's', 'degree', 'in', 'public', 'administration', 'social', 'sciences', 'engineering', 'or', 'related', 'field', 'bachelor', 's', 'degree', 'in', 'combination', 'with', 'two', 'additional', 'years', 'of', 'qualifying', 'experience', 'can', 'be', 'accepted', 'in', 'lieu', 'of', 'the', 'master', 's', 'degree', 'minimum', 'five', 'years', 'with', 'master', 's', 'degree', 'or', 'seven', 'years', 'with', 'bachelor', 's', 'degree', 'of', 'relevant', 'working', 'experience', 'in', 'direct', 'project', 'management', 'previous', 'experience', 'in', 'design', 'and', 'implementation', 'of', 'infrastructure', 'or', 'development', 'projects', 'in', 'bosnia', 'and', 'herzegovina', 'thorough', 'understanding', 'of', 'the', 'overall', 'political', 'administrative', 'and', 'institutional', 'set', 'up', 'of', 'local', 'governments', 'in', 'bih', 'treats', 'all', 'people', 'fairly', 'without', 'favoritism', 'excellent', 'writing', 'and', 'verbal', 'communication', 'skills', 'in', 'english', 'and', 'bosnian', 'croatian', 'serbian', 'bcs', 'is', 'required']",master degree public administration social science engineering field bachelor degree combination two additional year qualifying accepted lieu master degree minimum five year master degree seven year bachelor degree working direct project management previous design implementation infrastructure development project bosnia herzegovina thorough understanding overall political administrative institutional set local government bih treat people fairly without favoritism excellent writing verbal communication skill english bosnian croatian serbian bcs
Organization for Security and Co-operation in Europe,Security Information Manager ,17.05.2023,05.09.2023,"First-level university degree in security studies, political science, international relations, business administration or other related field A minimum of six years of relevant experience in strategic planning and external relations, experience in an international context working with international organizations and knowledge of security and co-operation issues is desirable, experience in supporting executive leadership and policy analyses or related field, excellent organizational, project management and negotiation skills, excellent drafting skills with the ability to communicate clearly and concisely both orally and in writing Professional fluency in English, knowledge of other OSCE working languages in particular Russian, would be an asset ",Vienna,Austria,Europe,2,security information manager ,"['security', 'information', 'manager']",security information manager,first level university degree in security studies  political science  international relations  business administration or other related field a minimum of six years of relevant experience in strategic planning and external relations  experience in an international context working with international organizations and knowledge of security and co operation issues is desirable  experience in supporting executive leadership and policy analyses or related field  excellent organizational  project management and negotiation skills  excellent drafting skills with the ability to communicate clearly and concisely both orally and in writing professional fluency in english  knowledge of other osce working languages in particular russian  would be an asset ,"['first', 'level', 'university', 'degree', 'in', 'security', 'studies', 'political', 'science', 'international', 'relations', 'business', 'administration', 'or', 'other', 'related', 'field', 'a', 'minimum', 'of', 'six', 'years', 'of', 'relevant', 'experience', 'in', 'strategic', 'planning', 'and', 'external', 'relations', 'experience', 'in', 'an', 'international', 'context', 'working', 'with', 'international', 'organizations', 'and', 'knowledge', 'of', 'security', 'and', 'co', 'operation', 'issues', 'is', 'desirable', 'experience', 'in', 'supporting', 'executive', 'leadership', 'and', 'policy', 'analyses', 'or', 'related', 'field', 'excellent', 'organizational', 'project', 'management', 'and', 'negotiation', 'skills', 'excellent', 'drafting', 'skills', 'with', 'the', 'ability', 'to', 'communicate', 'clearly', 'and', 'concisely', 'both', 'orally', 'and', 'in', 'writing', 'professional', 'fluency', 'in', 'english', 'knowledge', 'of', 'other', 'osce', 'working', 'languages', 'in', 'particular', 'russian', 'would', 'be', 'an', 'asset']",first level university degree security study political science international relation business administration field minimum six year strategic planning external relation international context working international organization security co operation issue desirable supporting executive leadership policy analysis field excellent organizational project management negotiation skill excellent drafting skill communicate clearly concisely orally writing professional fluency english osce working language particular russian would asset
Organization for Security and Co-operation in Europe,Associate Project Officer ,12.06.2023,24.05.2023,"First-level university degree in political sciences or international relations or other relevant social science discipline A minimum of four years of practical experience in security policy and/or SALW control, demonstrated experience applying project management techniques, Computer literate with practical experience with Microsoft applications, demonstrated gender awareness and sensitivity, and an ability to integrate a gender perspective into tasks and activities, ability to establish and maintain effective working relationships with people of different national, cultural and professional backgrounds, whilst remaining impartial and objective Professional fluency in English including excellent drafting skills, knowledge of other OSCE official languages would be an asset ",Vienna,Austria,Europe,3,associate project officer ,"['associate', 'project', 'officer']",associate project officer,first level university degree in political sciences or international relations or other relevant social science discipline a minimum of four years of practical experience in security policy and or salw control  demonstrated experience applying project management techniques  computer literate with practical experience with microsoft applications  demonstrated gender awareness and sensitivity  and an ability to integrate a gender perspective into tasks and activities  ability to establish and maintain effective working relationships with people of different national  cultural and professional backgrounds  whilst remaining impartial and objective professional fluency in english including excellent drafting skills  knowledge of other osce official languages would be an asset ,"['first', 'level', 'university', 'degree', 'in', 'political', 'sciences', 'or', 'international', 'relations', 'or', 'other', 'relevant', 'social', 'science', 'discipline', 'a', 'minimum', 'of', 'four', 'years', 'of', 'practical', 'experience', 'in', 'security', 'policy', 'and', 'or', 'salw', 'control', 'demonstrated', 'experience', 'applying', 'project', 'management', 'techniques', 'computer', 'literate', 'with', 'practical', 'experience', 'with', 'microsoft', 'applications', 'demonstrated', 'gender', 'awareness', 'and', 'sensitivity', 'and', 'an', 'ability', 'to', 'integrate', 'a', 'gender', 'perspective', 'into', 'tasks', 'and', 'activities', 'ability', 'to', 'establish', 'and', 'maintain', 'effective', 'working', 'relationships', 'with', 'people', 'of', 'different', 'national', 'cultural', 'and', 'professional', 'backgrounds', 'whilst', 'remaining', 'impartial', 'and', 'objective', 'professional', 'fluency', 'in', 'english', 'including', 'excellent', 'drafting', 'skills', 'knowledge', 'of', 'other', 'osce', 'official', 'languages', 'would', 'be', 'an', 'asset']",first level university degree political science international relation social science discipline minimum four year practical security policy salw control demonstrated applying project management technique computer literate practical microsoft application demonstrated gender awareness sensitivity integrate gender perspective task activity establish maintain effective working relationship people different national cultural professional background whilst remaining impartial objective professional fluency english including excellent drafting skill osce official language would asset
United Nations Development Programme,Procurement Assistant ,24.03.2023,15.03.2023,"Secondary education, University degree and procurement certification are highly desirable but not a requirement A minimum of five years of relevant experience in procurement, logistics, and/or administration is required at the national and/or international level, alternatively, may be accepted bachelor’s degree in combination with two years of relevant experience in procurement, logistics, and/or administration, procurement and/or supply chain experience in an international non-governmental organization or international commercial company is highly desirable, public procurement experience is desirable, acknowledgement of UN procurement procedures is an advantage Fluency in English is required, working knowledge in German is an asset ",Istanbul,Turkey,Asia,2,procurement assistant ,"['procurement', 'assistant']",procurement assistant,secondary education  university degree and procurement certification are highly desirable but not a requirement a minimum of five years of relevant experience in procurement  logistics  and or administration is required at the national and or international level  alternatively  may be accepted bachelor s degree in combination with two years of relevant experience in procurement  logistics  and or administration  procurement and or supply chain experience in an international non governmental organization or international commercial company is highly desirable  public procurement experience is desirable  acknowledgement of un procurement procedures is an advantage fluency in english is required  working knowledge in german is an asset ,"['secondary', 'education', 'university', 'degree', 'and', 'procurement', 'certification', 'are', 'highly', 'desirable', 'but', 'not', 'a', 'requirement', 'a', 'minimum', 'of', 'five', 'years', 'of', 'relevant', 'experience', 'in', 'procurement', 'logistics', 'and', 'or', 'administration', 'is', 'required', 'at', 'the', 'national', 'and', 'or', 'international', 'level', 'alternatively', 'may', 'be', 'accepted', 'bachelor', 's', 'degree', 'in', 'combination', 'with', 'two', 'years', 'of', 'relevant', 'experience', 'in', 'procurement', 'logistics', 'and', 'or', 'administration', 'procurement', 'and', 'or', 'supply', 'chain', 'experience', 'in', 'an', 'international', 'non', 'governmental', 'organization', 'or', 'international', 'commercial', 'company', 'is', 'highly', 'desirable', 'public', 'procurement', 'experience', 'is', 'desirable', 'acknowledgement', 'of', 'un', 'procurement', 'procedures', 'is', 'an', 'advantage', 'fluency', 'in', 'english', 'is', 'required', 'working', 'knowledge', 'in', 'german', 'is', 'an', 'asset']",secondary education university degree procurement certification highly desirable not requirement minimum five year procurement logistics administration national international level alternatively may accepted bachelor degree combination two year procurement logistics administration procurement supply chain international non governmental organization international commercial highly desirable public procurement desirable acknowledgement un procurement procedure advantage fluency english working german asset
United Nations World Food Programme,Project Consultant ,06.07.2022,25.06.2022,"A minimum of six years of professional experience, including relevant work experience in the United Nations system, other international organizations, NGOs, or public-sector, experience in change management and project management are essential skills, field experience is a desired skill, strong planning, prioritization and organizational skills, demonstrated negotiating, cultural sensitivity and diplomatic skills, ability to provide information, tools, resources to support work achievement, strong interpersonal skills, knowledge of WFP operations, strong communication skills, both written and oral, excellent drafting skills with the ability to edit and clear reports, speeches and correspondences Fluency in English is required ",Rome,Italy,Europe,2,project consultant ,"['project', 'consultant']",project consultant,a minimum of six years of professional experience  including relevant work experience in the united nations system  other international organizations  ngos  or public sector  experience in change management and project management are essential skills  field experience is a desired skill  strong planning  prioritization and organizational skills  demonstrated negotiating  cultural sensitivity and diplomatic skills  ability to provide information  tools  resources to support work achievement  strong interpersonal skills  knowledge of wfp operations  strong communication skills  both written and oral  excellent drafting skills with the ability to edit and clear reports  speeches and correspondences fluency in english is required ,"['a', 'minimum', 'of', 'six', 'years', 'of', 'professional', 'experience', 'including', 'relevant', 'work', 'experience', 'in', 'the', 'united', 'nations', 'system', 'other', 'international', 'organizations', 'ngos', 'or', 'public', 'sector', 'experience', 'in', 'change', 'management', 'and', 'project', 'management', 'are', 'essential', 'skills', 'field', 'experience', 'is', 'a', 'desired', 'skill', 'strong', 'planning', 'prioritization', 'and', 'organizational', 'skills', 'demonstrated', 'negotiating', 'cultural', 'sensitivity', 'and', 'diplomatic', 'skills', 'ability', 'to', 'provide', 'information', 'tools', 'resources', 'to', 'support', 'work', 'achievement', 'strong', 'interpersonal', 'skills', 'knowledge', 'of', 'wfp', 'operations', 'strong', 'communication', 'skills', 'both', 'written', 'and', 'oral', 'excellent', 'drafting', 'skills', 'with', 'the', 'ability', 'to', 'edit', 'and', 'clear', 'reports', 'speeches', 'and', 'correspondences', 'fluency', 'in', 'english', 'is', 'required']",minimum six year professional including united nation system international organization ngo public sector change management project management essential skill field desired strong planning prioritization organizational skill demonstrated negotiating cultural sensitivity diplomatic skill provide information tool resource support achievement strong interpersonal skill wfp operation strong communication skill written oral excellent drafting skill edit clear report speech correspondence fluency english
